Date and Time	Input Voltage(V)	Output Voltage(V)	Input Frequency(Hz)	Output Frequency(Hz)	Load Capacity(%)	Internal Temperature(℃)	Backup Time(Min)	Battery Voltage(V)	Battery Capacity(%)
﻿2021-02-13 18:21:48.187	94.3	95.3	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:21:54.181	94.3	95.3	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:21:59.188	94.3	95.3	50.0	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:22:05.182	94.3	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:22:10.187	94.3	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:22:16.184	94.5	95.2	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:22:22.191	94.2	95.2	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:22:28.182	94.2	95.2	50.0	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:22:33.188	94.2	95.2	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:22:38.194	94.2	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:22:44.188	94.2	95.0	49.9	49.9	16	35.7	110	53.8	100
﻿2021-02-13 18:22:49.192	94.2	95.0	49.9	50.0	16	35.7	110	53.8	100
﻿2021-02-13 18:22:55.187	94.2	95.1	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:23:00.194	94.2	95.1	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:23:06.186	94.4	95.3	50.0	50.0	15	35.7	110	53.9	100
﻿2021-02-13 18:23:11.195	94.4	95.3	50.0	50.0	15	35.7	111	53.9	100
﻿2021-02-13 18:23:16.200	94.4	95.3	50.0	50.0	15	35.7	111	53.9	100
﻿2021-02-13 18:23:21.208	94.4	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:23:27.199	94.4	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:23:32.206	94.3	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:23:38.199	94.3	95.3	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:23:43.206	94.3	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:23:49.198	94.3	95.1	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:23:54.206	94.3	95.1	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:24:00.199	94.3	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:24:05.205	94.4	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:24:10.212	94.4	95.1	49.9	49.9	15	35.7	111	53.8	100
﻿2021-02-13 18:24:15.218	94.3	95.0	49.9	49.9	15	35.7	111	53.8	100
﻿2021-02-13 18:24:20.226	94.3	95.0	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:24:25.235	94.2	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:24:30.241	94.2	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:24:36.234	94.1	95.1	49.9	49.9	15	35.7	110	53.8	100
